category_id,x,y,z
28,18.252392,-0.82072407,-5.680104
10,-2.3906722,4.4699836,-2.4589908
24,9.150901,5.225216,-0.40544468
24,13.417006,5.661249,0.55101115
10,-4.716747,-4.3069797,-10.751864
10,8.658161,12.059728,-3.016869
25,8.730755,2.0505226,4.9389753
24,-2.653106,4.997823,2.3792593
1,18.901953,-2.670488,-4.5972476
10,-1.9852655,-7.171549,-7.93733
10,-4.625288,-4.5048213,-10.684717
1,-4.102853,4.2930875,1.3008277
10,-8.573422,2.226587,-11.174527
26,8.71644,-8.63609,-3.2343442
28,-1.2917345,-12.182544,3.739273
27,-10.025109,-7.5601172,-3.3157115
24,0.94655585,7.9621115,11.715322
24,-6.325881,3.1581676,-5.20977
27,14.392093,-4.9291935,-6.1849656
10,-6.9962244,1.4359728,-13.433921
28,2.3530812,-13.888854,3.6864386
10,-12.606474,5.1786776,-4.3852496
10,0.17996871,-1.1961974,-16.092505
22,-13.11418,6.5391765,-2.321534
26,-8.236535,-0.84058595,5.6225934
10,-12.614445,3.7770185,-2.4667153
10,11.100115,-1.3956345,-6.100414
10,-1.4738797,-8.187424,-5.2884398
28,13.150206,0.5354587,1.9996675
24,0.54609317,-3.7788763,-12.433622
22,-13.53258,-3.870952,2.7790952
10,-9.133978,-4.155864,-7.5531287
24,-10.442128,-0.31545544,1.3149536
24,10.094061,-5.8794575,-9.608669
24,6.7907696,7.534948,-11.288166
22,9.412174,8.969253,5.0915284
10,-1.9553933,1.0013783,8.433727
28,10.273612,-1.1879387,1.362668
10,-0.8699241,-6.7897043,2.7284563
10,-7.281475,0.3930879,-12.0617
28,1.2987471,14.280012,-0.4686432
17,-8.706458,-6.039943,11.797952
28,4.6067305,8.912167,-11.662678
24,-4.836786,-5.1783743,11.425163
10,-13.660027,8.157833,-2.2343214
10,0.8128692,0.71358466,-16.79471
28,-0.9307097,16.581785,0.41237527
26,-9.999095,-2.1419969,-3.2039635
1,14.414043,3.7038944,-5.7587743
10,-12.783289,-4.104847,0.13361144
1,7.9569297,-12.209326,7.2608685
22,-8.831737,-7.7612567,-2.6585412
10,11.472954,6.2318783,-7.6498365
26,-4.226706,-5.8655477,-2.8262887
24,-13.352236,3.592595,-2.7269063
1,-11.761017,-3.7774932,3.935129
24,11.355509,-3.1126106,5.9618044
22,11.509577,7.406455,-6.9021745
24,-4.0546203,9.293047,10.362222
28,9.398352,8.0568495,5.1852736
24,6.8669825,2.9906597,1.9563218
27,2.7480023,14.268924,-8.265555
17,-14.579794,4.1703305,-0.44034484
10,-6.9437356,-1.1673731,-1.3377402
27,-10.20686,-3.2802994,11.055613
27,-10.289357,0.0028615887,2.6112516
24,13.040099,6.309373,-6.8796587
10,1.289759,-1.0320312,6.540415
27,3.8001683,7.8615794,-12.960551
24,13.3835125,5.562079,0.58851814
10,1.4528798,13.357831,-10.345122
24,3.0710146,-7.0832725,-8.509562
24,5.510352,-11.243371,-3.5508962
28,2.810593,-3.2862456,11.44944
28,8.400665,-7.6030407,-6.1930547
26,5.7473626,-8.915285,-0.65667105
27,-8.727731,-11.074291,1.5755055
24,7.147892,11.16814,5.240788
25,6.9000297,11.546115,-6.6759853
24,12.849579,-6.704081,-1.972352
10,3.86819,4.722296,-2.670722
1,11.993027,-9.662568,-1.2555586
10,-3.3168368,-1.5709587,-15.843554
25,13.572156,-1.1540529,-6.824529
